CallNumber,Algorithm,BestHost,TotalHosts,MEC_Hosts,MMEC_Hosts,BestHost_RAM,Total_RAM,BestHost_Disk,Total_Disk,BestHost_CPU,Total_CPU,Latency,BestHost_Latitude,BestHost_Longitude,UE_Latitude,UE_Longitude,Distance,ExecutionTime,std_Utilization
473,HHO,mmecHost[9],20,0,20,4.745932361621314E8,2.0E9,8.520566426464746E10,1.0E11,1415.2702680556122,3000.0,1000000.0,9302.1,5362.2699999999995,7461.674,2792.313,3160.988270039134,0,0.0
474,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7465.906,2780.04,7966.704136745383,0,0.0
475,HHO,mmecHost[3],20,0,20,1.5024554542161818E9,2.0E9,7.158302310421243E10,1.0E11,2045.384353102061,3000.0,1000000.0,6515.347855697703,7418.983839014224,7470.466,2767.797,4748.24069324572,0,0.0
476,HHO,mmecHost[6],20,0,20,1.455309769670791E9,2.0E9,3.421150172346814E10,1.0E11,2442.515482254095,3000.0,1000000.0,9950.155382835163,6874.901660201538,7475.627,2755.741,4805.286178991712,0,0.0
477,HHO,mmecHost[2],20,0,20,1.4431193199828653E9,2.0E9,7.44199704756369E10,1.0E11,2411.885771961981,3000.0,1000000.0,5236.30028550732,7167.692208768915,7480.46,2743.713,4960.62948261322,0,0.0
478,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7485.314,2731.602,7968.160086556997,0,0.0
479,HHO,mmecHost[16],20,0,20,1.1400612799412484E9,2.0E9,8.194752304878008E10,1.0E11,2445.010544761954,3000.0,1000000.0,1260.4555861242661,6522.424360345191,7490.516,2719.089,7299.247401191,0,0.0
480,HHO,mmecHost[14],20,0,20,1.0790598251038353E9,2.0E9,5.5858874743264244E10,1.0E11,1315.2763393799019,3000.0,1000000.0,9397.062908458529,6086.927600432497,7495.544,2706.524,3878.518101162131,0,0.0
481,HHO,mmecHost[12],20,0,20,6.65378009814408E8,2.0E9,5.749762067493419E10,1.0E11,2362.6439152832536,3000.0,1000000.0,6378.35545999808,5663.04677388038,7500.25,2694.415,3173.5503726549377,0,0.0
482,HHO,mmecHost[3],20,0,20,1.6932198219829497E9,2.0E9,7.24528324436677E10,1.0E11,2230.6981364876615,3000.0,1000000.0,6515.347855697703,7418.983839014224,7505.086,2682.001,4839.275566797392,0,0.0
483,HHO,mmecHost[5],20,0,20,1.688113698481377E9,2.0E9,8.742697855781947E10,1.0E11,2379.487003479638,3000.0,1000000.0,6240.579139362918,8500.636257132912,7509.413,2669.153,5967.925631584283,0,0.0
484,HHO,mmecHost[1],20,0,20,1.1012411696693957E9,2.0E9,6.640443225024259E10,1.0E11,1032.850050114172,3000.0,1000000.0,2924.108237733241,8129.87407049067,7513.596,2656.669,7142.7845875149505,0,0.0
485,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7517.784,2644.168,7969.234635953442,0,0.0
486,HHO,mmecHost[6],20,0,20,1.5168928685351279E9,2.0E9,4.476304799854135E10,1.0E11,1096.473811551324,3000.0,1000000.0,9950.155382835163,6874.901660201538,7521.861,2631.83,4888.790312880503,0,0.0
487,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7525.904,2619.268,7968.6759171797175,0,0.0
488,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7529.745,2607.334,7968.39070029708,0,0.0
489,HHO,mmecHost[13],20,0,20,1.7076975868679204E9,2.0E9,7.029001228313626E10,1.0E11,1518.1773630346145,3000.0,1000000.0,2282.0106838727456,8636.444637469127,7456.056,2808.707,7793.155388192425,0,0.0
490,HHO,mmecHost[4],20,0,20,1.410121455678473E9,2.0E9,3.485475334023548E10,1.0E11,755.7676148105795,3000.0,1000000.0,5971.305173777478,5368.592267020873,7460.388,2796.034,2972.4440618064273,0,0.0
491,HHO,mmecHost[3],20,0,20,1.660370096980356E9,2.0E9,8.123377288979594E10,1.0E11,2534.5036436448254,3000.0,1000000.0,6515.347855697703,7418.983839014224,7464.621,2783.768,4731.421073709452,0,0.0
492,HHO,mmecHost[12],20,0,20,1.0055736648013592E9,2.0E9,3.967268954991711E10,1.0E11,1736.6583988457605,3000.0,1000000.0,6378.35545999808,5663.04677388038,7469.062,2771.494,3090.4236280060827,0,0.0
493,HHO,mmecHost[10],20,0,20,1.6493911627471845E9,2.0E9,8.495323574174446E10,1.0E11,2102.3420361299864,3000.0,1000000.0,8194.854514066516,6101.282306905374,7474.045,2759.348,3418.7850571862377,0,0.0
494,HHO,mmecHost[5],20,0,20,1.575717784124539E9,2.0E9,5.4633441345222176E10,1.0E11,1899.426236465015,3000.0,1000000.0,6240.579139362918,8500.636257132912,7478.99,2747.382,5885.031521322707,0,0.0
495,HHO,mmecHost[14],20,0,20,8.752847322287229E8,2.0E9,3.796134294540241E10,1.0E11,1753.1551645614682,3000.0,1000000.0,9397.062908458529,6086.927600432497,7483.844,2735.271,3859.2756521018246,0,0.0
496,HHO,mmecHost[16],20,0,20,9.627093847102419E8,2.0E9,4.397968239903701E10,1.0E11,2451.334468700036,3000.0,1000000.0,1260.4555861242661,6522.424360345191,7488.98,2722.723,7296.04322917944,0,0.0
497,HHO,mmecHost[13],20,0,20,5.607763490798814E8,2.0E9,3.4041978928250126E10,1.0E11,952.7999272238878,3000.0,1000000.0,2282.0106838727456,8636.444637469127,7494.161,2710.23,7892.1816278681,0,0.0
498,HHO,mmecHost[2],20,0,20,9.023509341343523E8,2.0E9,8.71837199088094E10,1.0E11,1997.8513254378915,3000.0,1000000.0,5236.30028550732,7167.692208768915,7498.817,2698.095,5009.618856958444,0,0.0
499,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7503.647,2685.696,7969.798071784818,0,0.0
500,HHO,mmecHost[3],20,0,20,1.458149740781265E9,2.0E9,6.873997661001393E10,1.0E11,1696.7963454283677,3000.0,1000000.0,6515.347855697703,7418.983839014224,7508.16,2672.894,4848.818898852399,0,0.0
501,HHO,mmecHost[16],20,0,20,9.740830910029483E8,2.0E9,4.270429021117364E10,1.0E11,2103.0326942841393,3000.0,1000000.0,1260.4555861242661,6522.424360345191,7512.335,2660.431,7348.536515592308,0,0.0
502,HHO,mmecHost[3],20,0,20,1.4775962800925922E9,2.0E9,8.668663644401851E10,1.0E11,1977.3438544012795,3000.0,1000000.0,6515.347855697703,7418.983839014224,7516.527,2647.92,4874.977931738258,0,0.0
503,HHO,mmecHost[4],20,0,20,6.87261307956702E8,2.0E9,7.117507951303754E10,1.0E11,1561.5032016492444,3000.0,1000000.0,5971.305173777478,5368.592267020873,7520.653,2635.58,3141.6293126826768,0,0.0
504,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7524.694,2623.028,7968.770023185511,0,0.0
505,HHO,mmecHost[8],20,0,20,1.1741192114792025E9,2.0E9,6.651410908961004E10,1.0E11,2505.759339506544,3000.0,1000000.0,5821.80582306546,7488.360208027685,7528.787,2610.311,5168.089474297863,0,0.0
506,HHO,mmecHost[6],20,0,20,1.691342403927862E9,2.0E9,7.726874035968336E10,1.0E11,2625.022294323477,3000.0,1000000.0,9950.155382835163,6874.901660201538,7454.899,2812.487,4767.548351878562,0,0.0
507,HHO,mmecHost[15],20,0,20,9.538117921948905E8,2.0E9,6.547789910122508E10,1.0E11,2061.1193692526235,3000.0,1000000.0,8449.754782946495,3955.4011069333774,7459.099,2799.766,1522.1338248203574,0,0.0
508,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7463.327,2787.524,7966.902783359729,0,0.0
509,HHO,mmecHost[5],20,0,20,9.787308443554165E8,2.0E9,4.094892823810001E10,1.0E11,1283.4102081451613,3000.0,1000000.0,6240.579139362918,8500.636257132912,7467.657,2775.192,5855.461725398085,0,0.0
510,HHO,mmecHost[6],20,0,20,6.996186447784641E8,2.0E9,5.407076161978513E10,1.0E11,2389.596111801179,3000.0,1000000.0,9950.155382835163,6874.901660201538,7472.444,2762.933,4800.764518189844,0,0.0
511,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7477.514,2751.056,7967.529399715573,0,0.0
